date,canton,pop,atLeastOneDoseTotal,atLeastOneDosePer100,partiallyVaccTotal,partiallyVaccPer100,fullyVaccinatedTotal,fullyVaccinatedPer100,firstBoosterVaccinatedTotal,firstBoosterVaccinatedPer100
2021-01-01,SZ,144615,275,0.19,275,0.19,0,0,0,0
2021-01-01,TG,250045,194,0.08,194,0.08,0,0,0,0
2021-01-01,TI,317007,3,0,3,0,0,0,0,0
2021-01-01,UR,32706,2,0.01,2,0.01,0,0,0,0
2021-01-01,VD,717158,87,0.01,87,0.01,0,0,0,0
2021-01-01,VS,312362,25,0.01,21,0.01,4,0,0,0
2021-01-01,ZG,113860,205,0.18,204,0.18,1,0,0,0
2021-01-01,ZH,1369335,143,0.01,142,0.01,1,0,1,0
2021-01-02,AG,615124,196,0.03,193,0.03,3,0,0,0
2021-01-02,AI,14261,41,0.29,41,0.29,0,0,0,0
2021-01-02,AR,48435,5,0.01,4,0.01,1,0,0,0
2021-01-02,BE,925166,6,0,6,0,0,0,0,0
2021-01-02,BL,259146,264,0.1,264,0.1,0,0,0,0
2021-01-02,BS,174132,2182,1.25,2181,1.25,1,0,0,0
2021-01-02,CH,7678659,6290,0.08,6278,0.08,12,0,1,0
2021-01-02,CHFL,7713153,6290,0.08,6278,0.08,12,0,1,0
2021-01-02,FL,34494,0,0,0,0,0,0,0,0
2021-01-02,FR,286302,735,0.26,735,0.26,0,0,0,0
2021-01-02,GE,445161,56,0.01,56,0.01,0,0,0,0
2021-01-02,GL,36367,1,0,1,0,0,0,0,0
2021-01-02,GR,180259,1,0,1,0,0,0,0,0
2021-01-02,JU,64986,0,0,0,0,0,0,0,0
2021-01-02,LU,367937,1217,0.33,1217,0.33,0,0,0,0
2021-01-02,NE,155178,214,0.14,214,0.14,0,0,0,0
2021-01-02,NW,39193,179,0.46,179,0.46,0,0,0,0
2021-01-02,OW,33828,1,0,1,0,0,0,0,0
2021-01-02,SG,454531,13,0,12,0,1,0,0,0
2021-01-02,SH,74316,93,0.13,93,0.13,0,0,0,0
2021-01-02,SO,247249,150,0.06,150,0.06,0,0,0,0
2021-01-02,SZ,144615,275,0.19,275,0.19,0,0,0,0
2021-01-02,TG,250045,194,0.08,194,0.08,0,0,0,0
2021-01-02,TI,317007,3,0,3,0,0,0,0,0
2021-01-02,UR,32706,2,0.01,2,0.01,0,0,0,0
2021-01-02,VD,717158,87,0.01,87,0.01,0,0,0,0
2021-01-02,VS,312362,26,0.01,22,0.01,4,0,0,0
2021-01-02,ZG,113860,205,0.18,204,0.18,1,0,0,0
2021-01-02,ZH,1369335,144,0.01,143,0.01,1,0,1,0
2021-01-03,AG,615124,196,0.03,193,0.03,3,0,0,0
2021-01-03,AI,14261,41,0.29,41,0.29,0,0,0,0
2021-01-03,AR,48435,5,0.01,4,0.01,1,0,0,0
2021-01-03,BE,925166,7,0,7,0,0,0,0,0
2021-01-03,BL,259146,264,0.1,264,0.1,0,0,0,0
2021-01-03,BS,174132,2182,1.25,2181,1.25,1,0,0,0
2021-01-03,CH,7678659,6292,0.08,6280,0.08,12,0,3,0
2021-01-03,CHFL,7713153,6292,0.08,6280,0.08,12,0,3,0
2021-01-03,FL,34494,0,0,0,0,0,0,0,0
2021-01-03,FR,286302,735,0.26,735,0.26,0,0,0,0
2021-01-03,GE,445161,56,0.01,56,0.01,0,0,0,0
2021-01-03,GL,36367,1,0,1,0,0,0,0,0
2021-01-03,GR,180259,1,0,1,0,0,0,0,0
2021-01-03,JU,64986,0,0,0,0,0,0,0,0
2021-01-03,LU,367937,1217,0.33,1217,0.33,0,0,0,0
2021-01-03,NE,155178,214,0.14,214,0.14,0,0,0,0
2021-01-03,NW,39193,179,0.46,179,0.46,0,0,0,0
2021-01-03,OW,33828,1,0,1,0,0,0,0,0
2021-01-03,SG,454531,13,0,12,0,1,0,1,0
2021-01-03,SH,74316,93,0.13,93,0.13,0,0,0,0
2021-01-03,SO,247249,150,0.06,150,0.06,0,0,0,0
2021-01-03,SZ,144615,275,0.19,275,0.19,0,0,0,0
2021-01-03,TG,250045,194,0.08,194,0.08,0,0,0,0
